bmi,age,kmeans_cluster_bmi_age,agglomerative_cluster_bmi_age
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
33.6,50,0,0
